ID	Location	Day	Month	Year	Image	Body	AuthorID	CategoryID
1		26th	May	1876		My old book is well filled, so that I will scribble in this one a little. I have made one trip to Buffalo before this, back to Cleveland with water lime, then to Huron light where I loaded corn, oats, wheat and a propeller wheel, the old Eclipse wheel that Ryan Johnson & Co. were anxious to get to Buffalo.	1	5
2		6th	August	1876		Arrived at Buffalo Friday noon. Took aboard 200 tons block marble at Frank William's Derrick, Blackwell's canal yesterday for Cleveland and sailed last evening. 	1	5
3	Buffalo, N.Y.	28th	September	1876		Arrived 8:30 P.M. Wind a gale from west northwest; a heavy sea rolling. Waves managed to climb onto the deck load when abreast of Point Abino and wash off perhaps 1,000 staves. 'Twas moonlight so I did not take a tug, but sailed in, saving $7.00 tow bill. On reaching the dock I found there was 2 feet of water in the schooner which must have got into the hatches. 'Twas the worst blow I have been out in for some time.	1	5
4		27th	July	1877		Stopped at Huron with the schooner 14 days. Finally loaded her with new wheat for Wickham for Buffalo, taking on 2,000 bushels in bags on deck. The load came from Norwalk over the Wheeling and Lake Erie R.R. – the first freight that came over the Road.	1	5
5	Huron, Ohio	3rd	November	1877		Arrived at Cleveland Monday eve, after a rough time. Sailed from there Tuesday eve for Huron. Thursday eve, paid off all hands and am now home for the winter.	1	5
6	Buffalo, N.Y.	6th	April	1878		Arrived this morning. Have been on the jump all day. We have unloaded, towed to salt docks, taken on 400 bbls. salt, then towing to Erie Basin cement dock, where took on 50 bbls. cement. Am ready to sail, but as the weather is not the best and I am tired out, shall hang on until morning.	1	5
7		28th	August	1876		Unloaded at Huron and took on wheat for Cleveland. Orris played the baby again and quit sailing again, leaving me at Huron.  Rather glad that Orris quit. Left Cleveland this evening with 334 tons soft coal for James Bennett on Mackinac Island.	1	4
8	Huron, Ohio	22nd	October	1876		Am stripping the schooner today. 'Tis early to tie up for the winter, but the freights are too low to pay the risk this time of the year, and by canceling the insurance, we get 20% rebate. Thank God, I have steered clear of accident the past summer and home again for the winter. The vessel has barely paid expenses, but many have not done that.	1	4
9	Huron, Ohio	12th	March	1877		The town is somewhat excited in regard to a railroad now building from Milan to Wheeling, Virginia. They will make Huron a terminus of the road, providing Huron raises $15,000 by the first of April. The schooner La Petite is the first and only schooner so far to sail or hail from Huron that is wind rigged.	1	4
10	Cleveland, Ohio	12th	June	1877		Left Huron at 12 o'clock last night, arriving here early this morning. I came in hopes of securing a load for Detroit or there about, but found it very dull here – no show for anything!  Mr. McDowell came aboard to see me, saying he had just got a letter requesting him to send him another load of coal by schooner La Petite. So I am all OK again.	1	4
11	Welland, Ontario	11th	May	1878		I am having lots of trouble here. The man, J.H. Hendershot, I was consigned to, is a bankrupt, owing everybody and paying nothing. I demanded my freight yesterday; he would not pay; stopped the unloading. I finally, this afternoon, sold a Mr. Symes 100 tons of coal, he to pay me my charges. It keeps me here over Sunday.	1	4
12	Welland, Ontario	18th	May	1878		Have finally got to work again. Shall have to tow down the canal two miles and leave 100 tons for my charges. I have written an article for the Buffalo papers, giving Hendershot a rub.	1	4
13		8th	July	1876		Have had a light head wind all of the time since leaving Buffalo. Little Edna's very happy and busy, first washing her doll clothes, then swinging. I made a swing for her under the main boom. She enjoys her trip very much. Cora's photograph, taken when she was two years old, is tacked inside of my writing desk – also her Mother's and Anna's.	1	3
14		15th	July	1876		Henry Snow and wife and children were aboard while I was at Cleveland Monday to supper with me. He has nothing to do yet and I fear they are very hard up.	1	3
15	Buffalo, N.Y.	15th	May	1877		Arrived Sunday morning. Took dinner with Courters. Went with Gund Williams and Frank Courter for a drive after dinner. I got a letter from daughter Anna yesterday. I also got a letter today written by my dear wife.	1	3
16		15th	June	1877		I got half doz. qts. of strawberries at 5 cents per qt. just before sailing yesterday. Had strawberry shortcake last night and tonight. I have a good woman cooking for me. The children all like her; she also likes the children, so they get along nicely.	1	3
17		21st	September	1877		Today, the 21st. I was 42 years old; 'tis my birthday!	1	3
18	Toledo, Ohio	30th	June	1878		The past two days have been very warm.  Edna and I have spent the day there, reading, singing, and part of the time, she has been combing my hair. She is happy, brown as a berry. She is a few days past 8 years old.	1	3
19		4th	July	1878		There has been a great change in the weather. At 10 o'clock, it cleared off, the sun came out and it has been a beautiful day. I wonder how they have enjoyed it at home. Anna was to be one of the waiters at the tables at the lawn fete, to be held on the square in front of the church at Huron. Edna is happy; she has been firing a toy pistol I got for her at Toledo.	1	3
20		26th	May	1876		Dear little Pet, Cora! It seems as if she was right with me today. How much we miss her! Why could she not be left with us? Four weeks today she was taken sick; called the doctor the night before, but none of us thought 'twas anything serious. But it proved to be membranous croup. She died Monday morning, 3 o'clock May 1st.	1	2
21		6th	June	1876		I went home Friday on the 3:30 P.M. train. Came back to Cleveland Monday morning. My daughter, Anna, came with me and is now aboard the vessel enjoying herself. She now sits near me reading by the lamp in my room. I miss little Cora so much at home. “Papa's big girl,” as she said.	1	2
22	Lake Erie	22nd	June	1876		I bought Edna a napkin ring at Buffalo, also some warp for a rag carpet, and a head stone for Cora's grave. 'Tis the last I can do for the little darling.	1	2
23	Huron, Ohio	9th	May	1877		Arrived here Sunday morning. The wind has been blowing a gale from northeast for three days...We have a boy baby, born at 10:30 last night. Mother and child doing nicely. Edna is much pleased with the baby. Anna don't seem to like it much.	1	2
24	Buffalo, N.Y.	28th	August	1877		When in Cleveland last week on way to Huron, I bought an easy chair in hair cloth for my wife, price $11.00. Yesterday I bought half dozen handsome walnut chairs for the dining room.	1	2
25	Sandusky, Ohio	1st	May	1878		Went home last evening; returned this morning. Found all well there. Baby Austin had not forgotten me, but laughed as soon as he saw me and insisted on my holding him all of the time I was in the house. I have no load yet. There does not seem to be anything for one to do just now but wait for something to turn up.	1	2
26	Huron, Ohio	22nd	May	1878		Arrived 4 P.M. Saturday. Baby Austin is growing finely. Anna is getting along nicely with her music lessons. Edna is digging away at school. Little wife is not feeling very well, but I hope she will soon be better. Everything to thank God for!	1	2
27	Buffalo, N.Y.	11th	October	1877		The wind yesterday freshened to a gale and was blowing very hard. Many vessels run back. I arrived here 9:30 P.M. – 25 hours from Huron. A tug met me at the breakwater. She took my tow line and broke it, letting me strike a tow barge, breaking off my jib boom, both davits and smashing boat! Many vessels came in with spars and sails gone.	1	1
28		12th	October	1877		I hauled to dry dock last evening. We have taken the forecastle out and the ceiling under the cabin. I don't find as much rotten timber as expected, but there is enough of it.	1	1
29		20th	October	1877		It rained all day yesterday and up to noon today, but the carpenters worked all of the time. We will have the planking in forward by Monday night; then will step new foremast, rig out new jib boom and set the rigging up. I hope to be ready to load if I can secure any up freight by Thursday.	1	1
30		22nd	October	1877		The carpenter got through the work tonight.  They have done a good job and done it quick – 9 days work that would have taken two months at Huron during the winter. I shall keep two or three aboard tomorrow to get forecastle in place. Am promised 200 tons of block marble from Frank Williams for Cleveland. Got a letter from wife this morning. She writes that all are well at home. Thank God!	1	1
31				Date Unknown		I believe it is easy enough to get along on any vessel as soon as the officers and men find you are willing to do your very best. From what the sailors tell me, I am with the best crew on the Lakes. 	2	5
